"","player","pos","age","tm","g","gs","mp","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","pts","ortg","drtg","ts","od","div"
"1","Precious Achiuwa","C",22,"TOR",73,28,1725,7.7,17.5,0.439,1.6,4.5,0.359,6.1,13,0.468,2.3,3.8,0.595,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,105,110,0.500730231587732,0.954545454545455,"A"
"2","Steven Adams","C",28,"MEM",76,75,1999,5,9.2,0.547,0,0,0,5,9.2,0.548,2.6,4.8,0.543,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,125,108,0.556930693069307,1.15740740740741,"SW"
"3","Bam Adebayo","C",24,"MIA",56,56,1825,11.1,20,0.557,0,0.2,0,11.1,19.8,0.562,7,9.3,0.753,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,117,104,0.60808567159223,1.125,"SE"
"4","LaMarcus Aldridge","C",36,"BRK",47,12,1050,11.6,21.1,0.55,0.6,2.1,0.304,11,19,0.578,4.1,4.7,0.873,3.4,8.5,11.9,1.9,0.6,2.2,2,3.6,28,119,112,0.604281767955801,1.0625,"A"
"5","Nickeil Alexander-Walker","SG",23,"TOT",65,21,1466,8.5,22.9,0.372,3.5,11.4,0.311,5,11.5,0.433,2.7,3.7,0.743,1.2,5.1,6.3,5.3,1.5,0.8,3.1,3.5,23.3,98,114,0.47496738421396,0.859649122807018,NA
"6","Grayson Allen","SG",26,"MIL",66,61,1805,6.8,15.1,0.448,4.2,10.4,0.409,2.6,4.8,0.533,1.7,2,0.865,0.9,5.1,5.9,2.7,1.2,0.5,1.1,2.6,19.5,122,114,0.610137672090113,1.07017543859649,"C"
"7","Jarrett Allen","C",23,"CLE",56,56,1809,10.2,15,0.677,0,0.3,0.1,10.2,14.8,0.688,4.6,6.4,0.708,5.3,11.3,16.6,2.5,1.2,2.1,2.6,2.7,25,132,106,0.701616524472384,1.24528301886792,"C"
"8","Jose Alvarado","PG",23,"NOP",54,1,834,7.8,17.4,0.446,1.9,6.5,0.291,5.9,10.9,0.538,2.1,3.1,0.679,1.5,4.4,5.9,9,4.2,0.4,2.4,4.3,19.5,114,109,0.51961202302281,1.04587155963303,"SW"
"9","Kyle Anderson","PF",28,"MEM",69,11,1484,6.7,15.1,0.446,1.2,3.5,0.33,5.6,11.6,0.481,2.2,3.4,0.638,2.2,9.6,11.9,5.9,2.5,1.5,2.3,3.5,16.8,110,106,0.506146059291396,1.0377358490566,"SW"
"10","Giannis Antetokounmpo","PF",27,"MIL",67,67,2204,15,27.1,0.553,1.5,5.3,0.293,13.5,21.9,0.616,12.1,16.7,0.722,2.9,14,17,8.5,1.6,2,4.8,4.6,43.6,124,106,0.632837900603809,1.16981132075472,"C"
"11","Thanasis Antetokounmpo","SF",29,"MIL",48,6,473,7.1,13,0.547,0.2,1.4,0.143,6.9,11.6,0.596,2.9,4.7,0.63,4.1,6.2,10.3,2.2,1.6,1.2,2.6,6.9,17.4,113,112,0.577382532519246,1.00892857142857,"C"
"12","Carmelo Anthony","PF",37,"LAL",69,3,1793,8.5,19.3,0.441,4,10.6,0.375,4.5,8.7,0.521,3.5,4.3,0.83,1.7,6,7.7,1.8,1.3,1.4,1.6,4.4,24.6,114,114,0.580407701019253,1,"P"
"13","Cole Anthony","PG",21,"ORL",65,65,2059,8.4,21.4,0.391,3.1,9.2,0.338,5.3,12.2,0.432,5.1,5.9,0.854,0.8,7.4,8.2,8.7,1.1,0.4,4,4,24.9,103,114,0.518836472745458,0.903508771929825,"SE"
"14","OG Anunoby","SF",24,"TOR",48,48,1728,8.9,20.2,0.443,3.3,9.2,0.363,5.6,11,0.511,2.6,3.4,0.754,2.1,5.5,7.6,3.6,2.1,0.7,2.3,3.8,23.8,112,111,0.548488200589971,1.00900900900901,"A"
"15","D.J. Augustin","PG",34,"TOT",55,2,883,5.1,12,0.423,3.7,8.9,0.415,1.4,3.1,0.448,2.1,2.3,0.884,0.6,3.1,3.7,5.8,0.9,0.1,3,2.1,15.9,112,120,0.610974485090686,0.933333333333333,NA
"16","Deni Avdija","SF",21,"WAS",82,8,1984,6.2,14.4,0.432,2,6.5,0.317,4.2,8,0.525,2.6,3.4,0.757,1.3,9.3,10.6,4.2,1.5,1.1,2.2,4.7,17.1,106,113,0.537871162556618,0.938053097345133,"SE"
"17","Deandre Ayton","C",23,"PHO",58,58,1713,12.4,19.6,0.634,0.2,0.5,0.368,12.2,19,0.642,3,4,0.746,4.2,12.5,16.7,2.4,1.1,1.1,2.6,4,28,124,105,0.655430711610487,1.18095238095238,NA
"18","Marvin Bagley III","PF",22,"TOT",48,25,1146,9.5,18.8,0.504,1,4.1,0.237,8.5,14.7,0.579,2.8,4.3,0.663,4.4,9.8,14.3,1.5,0.9,0.8,1.6,3.9,22.8,112,114,0.55093756040982,0.982456140350877,NA
"19","LaMelo Ball","PG",20,"CHO",75,75,2422,10.7,24.8,0.429,4.4,11.2,0.389,6.3,13.7,0.462,4.2,4.8,0.872,2.1,7.8,9.9,11.3,2.4,0.6,4.9,4.7,29.9,111,112,0.555514268727705,0.991071428571429,"SE"
"20","Mo Bamba","C",23,"ORL",71,69,1824,7.8,16.4,0.48,2.8,7.5,0.381,5,8.9,0.563,1.5,1.9,0.781,3.9,11.2,15.2,2.3,1,3.1,2,4.8,20,113,108,0.580181016477141,1.0462962962963,"SE"
"21","Desmond Bane","SG",23,"MEM",76,76,2266,10.7,23.2,0.461,4.8,11,0.436,5.9,12.2,0.484,3,3.3,0.903,1,6.1,7.1,4.4,1.9,0.6,2.3,4.1,29.2,119,110,0.59224403699497,1.08181818181818,"SW"
"22","Dalano Banton","PG",22,"TOR",64,1,696,6,14.5,0.411,0.9,3.7,0.255,5,10.8,0.464,1.9,3.2,0.591,2.7,6.2,8.9,7.1,2,0.7,3.8,4.9,14.7,98,111,0.462031682172492,0.882882882882883,"A"
"23","Harrison Barnes","PF",29,"SAC",77,77,2587,7.3,15.5,0.469,2.6,6.7,0.394,4.6,8.8,0.525,6.3,7.7,0.826,1.5,6.5,8,3.5,1,0.3,2.2,1.7,23.5,121,118,0.622088098263448,1.02542372881356,"P"
"24","Scottie Barnes","PF",20,"TOR",74,74,2617,8.8,17.8,0.492,1.1,3.7,0.301,7.7,14.1,0.543,3,4.1,0.735,3.7,6.9,10.6,4.9,1.5,1.1,2.6,3.7,21.7,116,111,0.553458477861661,1.04504504504505,"A"
"25","RJ Barrett","SF",21,"NYK",70,70,2417,10.1,24.7,0.408,2.9,8.4,0.342,7.2,16.4,0.442,6,8.4,0.714,1.4,7.1,8.4,4.3,0.9,0.3,3.1,2.9,29,103,113,0.510635300746584,0.911504424778761,"A"
"26","Will Barton","SG",31,"DEN",71,71,2277,8.4,19.3,0.438,3.4,9.3,0.365,5.1,10,0.504,2.2,2.7,0.803,0.9,6.4,7.3,5.9,1.2,0.7,2.7,2.5,22.5,108,114,0.549101913315111,0.947368421052632,"NW"
"27","Keita Bates-Diop","SF",26,"SAS",59,14,956,6.8,13.2,0.517,0.9,2.8,0.309,6,10.4,0.572,2.3,3.1,0.754,3.1,8.5,11.6,2.1,1.4,0.7,2.3,3.1,16.8,111,112,0.576764625102994,0.991071428571429,"SW"
"28","Nicolas Batum","PF",33,"LAC",59,54,1462,6,13,0.463,3.6,9,0.4,2.4,3.9,0.607,0.8,1.3,0.658,1,7.5,8.5,3.4,1.9,1.4,1.3,2.7,16.5,118,109,0.607869142351901,1.08256880733945,"P"
"29","Darius Bazley","PF",21,"OKC",69,53,1924,6.9,16.4,0.422,2,6.8,0.297,4.9,9.6,0.511,3,4.3,0.688,1.8,9.2,11,2.5,1.5,1.8,2.3,1.7,18.9,101,111,0.516619287120052,0.90990990990991,"NW"
"30","Malik Beasley","SG",25,"MIN",79,18,1976,8,20.5,0.391,5.8,15.3,0.377,2.2,5.1,0.432,1.2,1.4,0.817,0.6,4.8,5.5,2.8,1,0.3,1,2.1,22.9,111,116,0.542242849024436,0.956896551724138,"NW"
"31","DeAndre' Bembry","SF",27,"TOT",56,20,1026,5.9,10.4,0.561,0.7,1.7,0.417,5.1,8.7,0.589,1,1.7,0.6,2,5.7,7.7,3.1,2.3,1.2,1.5,5.3,13.4,119,112,0.601004664513814,1.0625,NA
